Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
chapter_1_3f17b45d		I plant a gentle kiss on his forehead.	game/chapter-1.rpy	3	"[what]"
chapter_1_4003f2e6		With this little morning ritual our day begins with a prayer to Utu, god of the Sun and justice.	game/chapter-1.rpy	4	"[what]"
chapter_1_92fb3c19		Finishing the daily duty, Nabisin prepares to head down to the central market.	game/chapter-1.rpy	5	"[what]"
chapter_1_639b6348		Noticing Lulu went back to sleep, Nabisin plant another kiss on his forehead.	game/chapter-1.rpy	6	"[what]"
chapter_1_d3db8c85	n	“Sleep good my dear.”	game/chapter-1.rpy	8	n "[what]"
chapter_1_ea78b8c6	n	“I’m going to the central market buy some bread and barley.”	game/chapter-1.rpy	9	n "[what]"
chapter_1_22d95a92		The central market was busy and crowded with many people, mainly other goats and sheep.	game/chapter-1.rpy	12	"[what]"
chapter_1_9be9e4a7		On some columns and alleys you see many people playing some games, namely Senet and other variations of Mankala.	game/chapter-1.rpy	13	"[what]"
chapter_1_a5f79f94		Some places you see lizard guards looking down on the commonfolk.	game/chapter-1.rpy	14	"[what]"
chapter_1_270c0d74		How unusual, there were more lizard guards today than yesterday. {w}I hope the temple hasn’t forgotten to warn me about any coming celebration.	game/chapter-1.rpy	15	"[what]"
chapter_1_5cc03068		Ignoring the menacing men in armor and weapons, Nabisin had set a goal in his mind.	game/chapter-1.rpy	16	"[what]"
chapter_1_48f68592		The stand where he usually bought bread and barly was crowded.	game/chapter-1.rpy	17	"[what]"
chapter_1_238cbc96		Not an issue for a patient priest... {w}Unless, he remembered of making his daily offerings to the temple of bread and sesame oil.	game/chapter-1.rpy	18	"[what]"
chapter_1_9f3e1b09		Leaving the central mark to enter the temple district, Nabisin calls for Shelibuum.	game/chapter-1.rpy	19	"[what]"
chapter_1_e5e85e40	s	“Heyy Nabby!”	game/chapter-1.rpy	26	s "[what]"
chapter_1_ffe21177	s	“How ya doing?”	game/chapter-1.rpy	27	s "[what]"
chapter_1_c2eeeba9	s	“Haven’t seen you in the temple the last days, I’ve begun to grow worry you might’ve shirked your duties.”	game/chapter-1.rpy	28	s "[what]"
chapter_1_bd8fa6dd		You remember the time you spent looking to impress your parents who decided to visit just in the wrong time.	game/chapter-1.rpy	29	"[what]"
chapter_1_59b0bf3d	n	“Ahh… about that, I’m deeply sorry I have made the gods wait for my return.”	game/chapter-1.rpy	30	n "[what]"
chapter_1_b6e54020	n	“My parents came at a time of hardship for both me and Lulu and I had to turn my full attention to them.”	game/chapter-1.rpy	31	n "[what]"
chapter_1_4fd2ec5a	n	“I guess the other priests didn’t tell you.”	game/chapter-1.rpy	32	n "[what]"
chapter_1_9983939b	s	“Ah, I heard all matters pertaining you were secretive and matter of the temple and the patron god.”	game/chapter-1.rpy	33	s "[what]"
